State,Year,Quarter,Device_Brand,User_Count,Registered_Users,App_Opens
Andaman & Nicobar Islands,2024,2,Nill,0,0,0
Andaman & Nicobar Islands,2024,4,Nill,0,0,0
Andaman & Nicobar Islands,2024,1,Nill,0,0,0
Andaman & Nicobar Islands,2024,3,Nill,0,0,0
Andaman & Nicobar Islands,2019,2,Xiaomi,5296,0,0
Andaman & Nicobar Islands,2019,2,Samsung,4165,0,0
Andaman & Nicobar Islands,2019,2,Vivo,4102,0,0
Andaman & Nicobar Islands,2019,2,Oppo,1905,0,0
Andaman & Nicobar Islands,2019,2,Realme,1012,0,0
Andaman & Nicobar Islands,2019,2,OnePlus,950,0,0
Andaman & Nicobar Islands,2019,2,Huawei,644,0,0
Andaman & Nicobar Islands,2019,2,Motorola,630,0,0
Andaman & Nicobar Islands,2019,2,Apple,569,0,0
Andaman & Nicobar Islands,2019,2,Lenovo,477,0,0
Andaman & Nicobar Islands,2019,2,Others,1981,0,0
Andaman & Nicobar Islands,2019,4,Xiaomi,6259,0,0
Andaman & Nicobar Islands,2019,4,Vivo,5190,0,0
Andaman & Nicobar Islands,2019,4,Samsung,4900,0,0
Andaman & Nicobar Islands,2019,4,Oppo,2329,0,0
Andaman & Nicobar Islands,2019,4,Realme,1329,0,0
Andaman & Nicobar Islands,2019,4,OnePlus,1124,0,0
Andaman & Nicobar Islands,2019,4,Huawei,798,0,0
Andaman & Nicobar Islands,2019,4,Motorola,682,0,0
Andaman & Nicobar Islands,2019,4,Apple,678,0,0
Andaman & Nicobar Islands,2019,4,Lenovo,488,0,0
Andaman & Nicobar Islands,2019,4,Others,2183,0,0
Andaman & Nicobar Islands,2019,1,Xiaomi,4576,0,0
Andaman & Nicobar Islands,2019,1,Samsung,3567,0,0
Andaman & Nicobar Islands,2019,1,Vivo,3420,0,0
Andaman & Nicobar Islands,2019,1,Oppo,1600,0,0
Andaman & Nicobar Islands,2019,1,Realme,897,0,0
Andaman & Nicobar Islands,2019,1,OnePlus,855,0,0
Andaman & Nicobar Islands,2019,1,Motorola,561,0,0
Andaman & Nicobar Islands,2019,1,Apple,515,0,0
Andaman & Nicobar Islands,2019,1,Huawei,515,0,0
Andaman & Nicobar Islands,2019,1,Lenovo,426,0,0
Andaman & Nicobar Islands,2019,1,Others,1664,0,0
Andaman & Nicobar Islands,2019,3,Xiaomi,5819,0,0
Andaman & Nicobar Islands,2019,3,Vivo,4685,0,0
Andaman & Nicobar Islands,2019,3,Samsung,4508,0,0
Andaman & Nicobar Islands,2019,3,Oppo,2108,0,0
Andaman & Nicobar Islands,2019,3,Realme,1158,0,0
Andaman & Nicobar Islands,2019,3,OnePlus,1045,0,0
Andaman & Nicobar Islands,2019,3,Huawei,725,0,0
Andaman & Nicobar Islands,2019,3,Motorola,660,0,0
Andaman & Nicobar Islands,2019,3,Apple,630,0,0
Andaman & Nicobar Islands,2019,3,Lenovo,483,0,0
Andaman & Nicobar Islands,2019,3,Others,2110,0,0
Andaman & Nicobar Islands,2021,2,Vivo,15056,0,0
Andaman & Nicobar Islands,2021,2,Xiaomi,14788,0,0
Andaman & Nicobar Islands,2021,2,Samsung,11476,0,0
Andaman & Nicobar Islands,2021,2,Oppo,5456,0,0
Andaman & Nicobar Islands,2021,2,Realme,4034,0,0
Andaman & Nicobar Islands,2021,2,OnePlus,1981,0,0
Andaman & Nicobar Islands,2021,2,Huawei,1559,0,0
Andaman & Nicobar Islands,2021,2,Apple,1153,0,0
Andaman & Nicobar Islands,2021,2,Motorola,1054,0,0
Andaman & Nicobar Islands,2021,2,Tecno,974,0,0
Andaman & Nicobar Islands,2021,2,Others,4564,0,0
Andaman & Nicobar Islands,2021,4,Vivo,17597,0,0
Andaman & Nicobar Islands,2021,4,Xiaomi,16968,0,0
Andaman & Nicobar Islands,2021,4,Samsung,12574,0,0
Andaman & Nicobar Islands,2021,4,Oppo,6127,0,0
Andaman & Nicobar Islands,2021,4,Realme,5830,0,0
Andaman & Nicobar Islands,2021,4,OnePlus,2691,0,0
Andaman & Nicobar Islands,2021,4,Apple,1490,0,0
Andaman & Nicobar Islands,2021,4,Huawei,1459,0,0
Andaman & Nicobar Islands,2021,4,Tecno,1417,0,0
Andaman & Nicobar Islands,2021,4,Motorola,1055,0,0
