State,District,Year,Quarter,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,North And Middle Andaman District,2024,2,313301,676844858.00
Andaman & Nicobar Islands,South Andaman District,2024,2,4153251,6285248054.00
Andaman & Nicobar Islands,Nicobars District,2024,2,186672,333687418.00
Andaman & Nicobar Islands,North And Middle Andaman District,2024,4,411230,759100984.00
Andaman & Nicobar Islands,South Andaman District,2024,4,5419850,7760167334.00
Andaman & Nicobar Islands,Nicobar District,2024,4,232820,401676455.00
Andaman & Nicobar Islands,North And Middle Andaman District,2024,1,266400,601756070.00
Andaman & Nicobar Islands,South Andaman District,2024,1,3751724,5952049462.00
Andaman & Nicobar Islands,Nicobars District,2024,1,166796,305346303.00
Andaman & Nicobar Islands,North And Middle Andaman District,2024,3,364075,724234808.00
Andaman & Nicobar Islands,South Andaman District,2024,3,4704639,6567147442.00
Andaman & Nicobar Islands,Nicobar District,2024,3,210536,372462759.00
Andaman & Nicobar Islands,North And Middle Andaman District,2019,2,3371,8612103.00
Andaman & Nicobar Islands,South Andaman District,2019,2,28490,102530956.00
Andaman & Nicobar Islands,Nicobars District,2019,2,1828,9111651.00
Andaman & Nicobar Islands,North And Middle Andaman District,2019,4,4716,13524057.00
Andaman & Nicobar Islands,South Andaman District,2019,4,27843,110930312.00
Andaman & Nicobar Islands,Nicobars District,2019,4,2600,12384162.00
Andaman & Nicobar Islands,North And Middle Andaman District,2019,1,3264,9561709.00
Andaman & Nicobar Islands,South Andaman District,2019,1,25683,85501972.00
Andaman & Nicobar Islands,Nicobars District,2019,1,1539,7236060.00
Andaman & Nicobar Islands,North And Middle Andaman District,2019,3,4049,11481466.00
Andaman & Nicobar Islands,South Andaman District,2019,3,27421,91023888.00
Andaman & Nicobar Islands,Nicobars District,2019,3,2300,11566421.00
Andaman & Nicobar Islands,North And Middle Andaman District,2021,2,39200,90233389.00
Andaman & Nicobar Islands,South Andaman District,2021,2,286907,760893021.00
Andaman & Nicobar Islands,Nicobars District,2021,2,15307,48020607.00
Andaman & Nicobar Islands,North And Middle Andaman District,2021,4,53115,156486112.00
