State,Year,Quarter,Level,Entity_Name,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,2024,2,Districts,South Andaman,4153251,6285248054.00
Andaman & Nicobar Islands,2024,2,Districts,North And Middle Andaman,313301,676844858.00
Andaman & Nicobar Islands,2024,2,Districts,Nicobars,186672,333687418.00
Andaman & Nicobar Islands,2024,2,Pincodes,744103,1017612,1578925731.00
Andaman & Nicobar Islands,2024,2,Pincodes,744105,893820,1374445615.00
Andaman & Nicobar Islands,2024,2,Pincodes,744101,811341,1158296326.00
Andaman & Nicobar Islands,2024,2,Pincodes,744102,457481,690786139.00
Andaman & Nicobar Islands,2024,2,Pincodes,744211,224583,411320695.00
Andaman & Nicobar Islands,2024,2,Pincodes,744107,215143,279183707.00
Andaman & Nicobar Islands,2024,2,Pincodes,744104,203691,288479778.00
Andaman & Nicobar Islands,2024,2,Pincodes,744112,149015,212749987.00
Andaman & Nicobar Islands,2024,2,Pincodes,744202,133606,309640750.00
Andaman & Nicobar Islands,2024,2,Pincodes,744301,103555,192116394.00
Andaman & Nicobar Islands,2024,4,Districts,South Andaman,5419850,7760167334.00
Andaman & Nicobar Islands,2024,4,Districts,North And Middle Andaman,411230,759100984.00
Andaman & Nicobar Islands,2024,4,Districts,Nicobar,232820,401676455.00
Andaman & Nicobar Islands,2024,4,Pincodes,744103,1624936,2327920210.00
Andaman & Nicobar Islands,2024,4,Pincodes,744105,788313,1111527475.00
Andaman & Nicobar Islands,2024,4,Pincodes,744104,750691,1054506007.00
Andaman & Nicobar Islands,2024,4,Pincodes,744102,745988,1083724002.00
Andaman & Nicobar Islands,2024,4,Pincodes,744101,444657,622167677.00
Andaman & Nicobar Islands,2024,4,Pincodes,744211,316142,549541741.00
Andaman & Nicobar Islands,2024,4,Pincodes,744106,247889,331449895.00
Andaman & Nicobar Islands,2024,4,Pincodes,744107,195688,249976872.00
Andaman & Nicobar Islands,2024,4,Pincodes,744202,177499,343623904.00
Andaman & Nicobar Islands,2024,4,Pincodes,744301,130704,238936987.00
Andaman & Nicobar Islands,2024,1,Districts,South Andaman,3751724,5952049462.00
Andaman & Nicobar Islands,2024,1,Districts,North And Middle Andaman,266400,601756070.00
Andaman & Nicobar Islands,2024,1,Districts,Nicobars,166796,305346303.00
