State,District,Year,Quarter,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,North And Middle Andaman District,2018,1,442,"? 931,663.08"
Andaman & Nicobar Islands,South Andaman District,2018,1,5688,"? 12,560,249.34"
Andaman & Nicobar Islands,Nicobars District,2018,1,528,"? 1,139,848.80"
Andhra Pradesh,East Godavari District,2018,1,943935,"? 1,235,785,515.60"
Andhra Pradesh,Srikakulam District,2018,1,458921,"? 587,778,028.92"
Andhra Pradesh,Spsr Nellore District,2018,1,531612,"? 676,643,237.81"
Andhra Pradesh,Vizianagaram District,2018,1,420990,"? 505,783,445.78"
Andhra Pradesh,Visakhapatnam District,2018,1,1256469,"? 1,749,966,196.50"
Andhra Pradesh,Prakasam District,2018,1,534757,"? 748,990,775.87"
Andhra Pradesh,Anantapur District,2018,1,638664,"? 788,830,646.03"
Andhra Pradesh,Ysr District,2018,1,487333,"? 681,481,931.09"
Andhra Pradesh,West Godavari District,2018,1,577090,"? 853,547,668.75"
Andhra Pradesh,Kurnool District,2018,1,679623,"? 764,905,298.74"
Andhra Pradesh,Chittoor District,2018,1,830324,"? 1,009,621,878.09"
Andhra Pradesh,Guntur District,2018,1,815932,"? 1,108,686,589.03"
Andhra Pradesh,Krishna District,2018,1,863935,"? 1,284,255,179.62"
Arunachal Pradesh,Lower Dibang Valley District,2018,1,1356,"? 1,076,236.81"
Arunachal Pradesh,Lower Subansiri District,2018,1,1477,"? 3,650,727.89"
Arunachal Pradesh,Longding District,2018,1,2321,"? 4,361,531.58"
Arunachal Pradesh,West Siang District,2018,1,1887,"? 4,796,675.57"
Arunachal Pradesh,Kamle District,2018,1,14,"? 7,971.33"
Arunachal Pradesh,Upper Siang District,2018,1,126,"? 186,610.67"
Arunachal Pradesh,Tirap District,2018,1,945,"? 1,064,265.00"
Arunachal Pradesh,Papum Pare District,2018,1,14224,"? 32,555,848.46"
Arunachal Pradesh,Kurung Kumey District,2018,1,84,"? 99,416.58"
Arunachal Pradesh,Siang District,2018,1,252,"? 339,471.80"
Arunachal Pradesh,Lower Siang District,2018,1,1292,"? 2,337,960.71"
Arunachal Pradesh,Kra Daadi District,2018,1,207,"? 495,375.15"
Arunachal Pradesh,Changlang District,2018,1,3195,"? 5,380,749.42"
Arunachal Pradesh,Pakke Kessang District,2018,1,9,"? 9,131.40"
Arunachal Pradesh,Dibang Valley District,2018,1,2,? 169.89
Arunachal Pradesh,West Kameng District,2018,1,5787,"? 9,540,632.55"
Arunachal Pradesh,East Siang District,2018,1,3286,"? 5,533,620.19"
Arunachal Pradesh,Upper Subansiri District,2018,1,735,"? 1,358,367.50"
Arunachal Pradesh,East Kameng District,2018,1,529,"? 473,824.77"
Arunachal Pradesh,Lohit District,2018,1,3747,"? 11,496,949.55"
Arunachal Pradesh,Lepa Rada District,2018,1,288,"? 403,149.47"
Arunachal Pradesh,Tawang District,2018,1,2334,"? 5,055,665.02"
Arunachal Pradesh,Namsai District,2018,1,1400,"? 2,162,984.71"
Assam,Tinsukia District,2018,1,41237,"? 45,886,201.03"
Assam,Lakhimpur District,2018,1,24946,"? 17,798,094.85"
Assam,Kamrup District,2018,1,47859,"? 41,868,129.26"
Assam,Kokrajhar District,2018,1,16397,"? 17,935,304.65"
Assam,Karbi Anglong District,2018,1,15032,"? 14,875,159.19"
Assam,Sivasagar District,2018,1,16898,"? 17,611,863.82"
Assam,Dibrugarh District,2018,1,44792,"? 53,258,765.87"
Assam,South Salmara Mancachar District,2018,1,8415,"? 9,404,472.00"
Assam,Nagaon District,2018,1,66695,"? 56,352,631.29"
Assam,Dhubri District,2018,1,26072,"? 24,431,277.76"
Assam,Golaghat District,2018,1,22089,"? 19,058,581.95"
Assam,Udalguri District,2018,1,18168,"? 14,465,756.76"
Assam,Majuli District,2018,1,2598,"? 1,326,721.02"
Assam,Sonitpur District,2018,1,51976,"? 73,005,566.25"
Assam,Hojai District,2018,1,16917,"? 15,849,610.99"
Assam,Marigaon District,2018,1,79832,"? 105,067,294.50"
Assam,Chirang District,2018,1,8445,"? 11,665,546.59"
Assam,Cachar District,2018,1,56481,"? 57,250,290.53"
Assam,Nalbari District,2018,1,16878,"? 12,393,870.99"
Assam,West Karbi Anglong District,2018,1,1445,"? 570,966.72"
Assam,Dhemaji District,2018,1,16037,"? 17,004,986.97"
Assam,Karimganj District,2018,1,17261,"? 17,842,353.52"
Assam,Bongaigaon District,2018,1,18899,"? 21,510,944.89"
Assam,Dima Hasao District,2018,1,4233,"? 4,781,136.06"
Assam,Baksa District,2018,1,20964,"? 22,457,849.87"
Assam,Charaideo District,2018,1,13094,"? 10,873,516.98"
Assam,Darrang District,2018,1,28031,"? 21,593,879.07"
Assam,Kamrup Metropolitan District,2018,1,194617,"? 284,766,218.98"
Assam,Hailakandi District,2018,1,15865,"? 11,065,155.72"
Assam,Barpeta District,2018,1,67801,"? 56,352,302.38"
Assam,Goalpara District,2018,1,27132,"? 25,331,840.52"
Assam,Biswanath District,2018,1,16453,"? 12,983,623.20"
Assam,Jorhat District,2018,1,33322,"? 41,164,542.06"
Bihar,Madhepura District,2018,1,79822,"? 85,073,945.80"
Bihar,Purnia District,2018,1,132262,"? 139,947,209.02"
Bihar,Nalanda District,2018,1,208901,"? 190,613,485.96"
Bihar,Buxar District,2018,1,61490,"? 56,987,162.14"
Bihar,Darbhanga District,2018,1,217364,"? 224,628,301.63"
Bihar,Nawada District,2018,1,78480,"? 81,161,592.44"
Bihar,Jamui District,2018,1,48226,"? 44,565,632.64"
Bihar,Sheikhpura District,2018,1,20728,"? 23,630,132.08"
Bihar,Siwan District,2018,1,129094,"? 169,228,975.71"
Bihar,Muzaffarpur District,2018,1,388401,"? 394,717,112.60"
Bihar,Patna District,2018,1,1197281,"? 1,282,492,050.64"
Bihar,Jehanabad District,2018,1,52401,"? 47,274,894.95"
Bihar,Rohtas District,2018,1,201231,"? 181,378,994.98"
Bihar,Begusarai District,2018,1,134911,"? 130,265,729.66"
Bihar,Supaul District,2018,1,85807,"? 71,313,091.36"
Bihar,Sitamarhi District,2018,1,145625,"? 162,281,680.14"
Bihar,Saran District,2018,1,149786,"? 171,839,806.77"
Bihar,Arwal District,2018,1,31620,"? 27,549,102.08"
Bihar,Vaishali District,2018,1,201678,"? 211,794,626.32"
Bihar,Pashchim Champaran District,2018,1,215866,"? 236,190,496.64"
Bihar,Gopalganj District,2018,1,107134,"? 141,070,590.51"
Bihar,Lakhisarai District,2018,1,42937,"? 43,611,675.08"
Bihar,Aurangabad District,2018,1,114354,"? 114,737,537.86"
Bihar,Kaimur Bhabua District,2018,1,64493,"? 70,110,158.70"
Bihar,Araria District,2018,1,81597,"? 95,184,067.65"
Bihar,Munger District,2018,1,64639,"? 64,455,596.26"
Bihar,Katihar District,2018,1,138075,"? 129,701,645.53"
Bihar,Khagaria District,2018,1,65892,"? 71,955,894.82"
Bihar,Saharsa District,2018,1,88087,"? 82,038,819.77"
Bihar,Bhagalpur District,2018,1,174456,"? 172,905,796.12"
Bihar,Madhubani District,2018,1,173946,"? 203,080,851.02"
Bihar,Kishanganj District,2018,1,38179,"? 45,880,790.35"
Bihar,Gaya District,2018,1,231873,"? 227,470,166.15"
Bihar,Samastipur District,2018,1,222241,"? 213,634,124.83"
Bihar,Banka District,2018,1,39192,"? 32,623,795.99"
Bihar,Purbi Champaran District,2018,1,254643,"? 264,192,918.45"
Bihar,Sheohar District,2018,1,25700,"? 22,183,882.58"
Bihar,Bhojpur District,2018,1,115890,"? 117,985,836.77"
Chandigarh,Chandigarh District,2018,1,381895,"? 613,435,420.87"
Chhattisgarh,Dhamtari District,2018,1,40907,"? 36,969,406.65"
Chhattisgarh,Korba District,2018,1,93345,"? 99,366,683.14"
Chhattisgarh,Surajpur District,2018,1,35573,"? 34,242,977.15"
Chhattisgarh,Baloda Bazar District,2018,1,61987,"? 55,455,251.91"
Chhattisgarh,Sukma District,2018,1,3825,"? 6,509,136.05"
Chhattisgarh,Raigarh District,2018,1,133135,"? 140,463,994.72"
Chhattisgarh,Janjgir Champa District,2018,1,219761,"? 223,984,259.55"
Chhattisgarh,Jashpur District,2018,1,41174,"? 39,068,620.44"
Chhattisgarh,Balod District,2018,1,36121,"? 33,548,672.66"
Chhattisgarh,Kabirdham District,2018,1,32615,"? 22,661,025.45"
Chhattisgarh,Surguja District,2018,1,68251,"? 77,822,921.04"
Chhattisgarh,Dantewada District,2018,1,8452,"? 12,999,922.81"
Chhattisgarh,Gariyaband District,2018,1,40648,"? 38,684,589.84"
Chhattisgarh,Durg District,2018,1,226774,"? 274,435,199.82"
Chhattisgarh,Rajnandgaon District,2018,1,73040,"? 79,830,832.05"
Chhattisgarh,Raipur District,2018,1,323570,"? 474,633,363.90"
Chhattisgarh,Narayanpur District,2018,1,2998,"? 2,964,107.20"
Chhattisgarh,Kanker District,2018,1,29788,"? 28,373,231.32"
Chhattisgarh,Korea District,2018,1,39025,"? 44,008,432.87"
Chhattisgarh,Mungeli District,2018,1,19819,"? 15,819,138.35"
Chhattisgarh,Bilaspur District,2018,1,158509,"? 169,865,045.95"
Chhattisgarh,Balrampur District,2018,1,29546,"? 41,793,646.19"
Chhattisgarh,Bijapur District,2018,1,5863,"? 10,478,592.79"
Chhattisgarh,Bemetara District,2018,1,41406,"? 40,326,244.06"
Chhattisgarh,Bastar District,2018,1,38895,"? 50,365,512.89"
Chhattisgarh,Kondagaon District,2018,1,22249,"? 25,283,402.37"
Chhattisgarh,Mahasamund District,2018,1,64238,"? 69,201,346.07"
Dadra & Nagar Haveli & Daman & Diu,Diu District,2018,1,5593,"? 6,434,481.93"
Dadra & Nagar Haveli & Daman & Diu,Daman District,2018,1,50218,"? 63,416,803.35"
Dadra & Nagar Haveli & Daman & Diu,Dadra And Nagar Haveli District,2018,1,92738,"? 105,807,098.83"
Delhi,South District,2018,1,334361,"? 597,143,870.48"
Delhi,Central District,2018,1,2997714,"? 4,312,145,216.27"
Delhi,New Delhi District,2018,1,883737,"? 1,478,916,789.17"
Delhi,West District,2018,1,545129,"? 966,855,137.03"
Delhi,South West District,2018,1,318199,"? 555,900,155.53"
Delhi,South East Delhi District,2018,1,562694,"? 929,543,692.82"
Delhi,Shahdara District,2018,1,193886,"? 326,458,215.38"
Delhi,North East District,2018,1,180160,"? 261,468,886.54"
Delhi,East District,2018,1,357904,"? 594,248,348.38"
Delhi,North West District,2018,1,387431,"? 614,242,861.07"
Delhi,North District,2018,1,361539,"? 574,580,634.25"
Goa,North Goa District,2018,1,95114,"? 187,108,291.99"
Goa,South Goa District,2018,1,65783,"? 116,748,450.36"
Gujarat,Anand District,2018,1,166658,"? 181,858,557.90"
Gujarat,Jamnagar District,2018,1,121341,"? 166,162,325.34"
Gujarat,Devbhumi Dwarka District,2018,1,30538,"? 38,615,229.59"
Gujarat,Rajkot District,2018,1,219190,"? 296,803,513.79"
Gujarat,Aravallis District,2018,1,55016,"? 41,323,327.90"
Gujarat,Chhotaudepur District,2018,1,12962,"? 13,597,431.64"
Gujarat,Botad District,2018,1,50541,"? 30,496,629.10"
Gujarat,Bharuch District,2018,1,210073,"? 249,246,117.14"
Gujarat,Bhavnagar District,2018,1,182948,"? 171,495,425.59"
Gujarat,Junagadh District,2018,1,56897,"? 69,940,293.03"
Gujarat,Mahesana District,2018,1,227748,"? 213,031,001.62"
Gujarat,The Dangs District,2018,1,5441,"? 4,783,138.83"
Gujarat,Kheda District,2018,1,104154,"? 94,652,160.87"
Gujarat,Surat District,2018,1,983723,"? 1,346,833,710.52"
Gujarat,Porbandar District,2018,1,16381,"? 28,254,689.48"
Gujarat,Gandhinagar District,2018,1,237393,"? 318,002,413.69"
Gujarat,Panch Mahals District,2018,1,86317,"? 65,556,534.79"
Gujarat,Narmada District,2018,1,13920,"? 15,120,948.43"
Gujarat,Gir Somnath District,2018,1,49292,"? 50,970,540.99"
Gujarat,Valsad District,2018,1,168659,"? 191,337,866.47"
Gujarat,Mahisagar District,2018,1,25888,"? 24,228,879.82"
Gujarat,Sabar Kantha District,2018,1,105266,"? 88,114,407.80"
Gujarat,Tapi District,2018,1,29217,"? 30,555,640.69"
Gujarat,Vadodara District,2018,1,387998,"? 604,645,570.21"
Gujarat,Banas Kantha District,2018,1,237457,"? 197,883,270.21"
Gujarat,Amreli District,2018,1,66032,"? 75,032,118.60"
Gujarat,Ahmadabad District,2018,1,1436152,"? 2,153,123,692.10"
Gujarat,Dohad District,2018,1,39278,"? 45,587,112.10"
Gujarat,Navsari District,2018,1,159975,"? 229,707,588.72"
Gujarat,Patan District,2018,1,105705,"? 81,974,812.42"
Gujarat,Kachchh District,2018,1,217912,"? 316,933,354.79"
Gujarat,Surendranagar District,2018,1,80486,"? 71,735,564.99"
Gujarat,Morbi District,2018,1,58217,"? 70,378,385.90"
Haryana,Yamunanagar District,2018,1,102917,"? 125,333,909.60"
Haryana,Sonipat District,2018,1,178766,"? 279,804,665.75"
Haryana,Jind District,2018,1,117357,"? 186,842,136.20"
Haryana,Rohtak District,2018,1,121728,"? 215,207,976.24"
Haryana,Faridabad District,2018,1,521939,"? 772,738,359.19"
Haryana,Mahendragarh District,2018,1,89413,"? 119,624,307.98"
Haryana,Hisar District,2018,1,240517,"? 355,732,765.75"
Haryana,Karnal District,2018,1,169313,"? 247,718,779.07"
Haryana,Fatehabad District,2018,1,116455,"? 105,677,674.31"
Haryana,Palwal District,2018,1,97942,"? 145,340,107.56"
Haryana,Charkhi Dadri District,2018,1,32910,"? 49,515,979.82"
Haryana,Ambala District,2018,1,119503,"? 189,250,271.94"
Haryana,Rewari District,2018,1,199418,"? 280,095,218.85"
Haryana,Panchkula District,2018,1,86298,"? 142,847,688.49"
Haryana,Bhiwani District,2018,1,125150,"? 190,361,119.40"
Haryana,Sirsa District,2018,1,164867,"? 164,313,975.87"
Haryana,Mewat District,2018,1,80255,"? 132,978,792.61"
Haryana,Panipat District,2018,1,183960,"? 263,054,774.74"
Haryana,Gurugram District,2018,1,1408070,"? 2,317,083,393.90"
Haryana,Kaithal District,2018,1,98466,"? 149,686,426.22"
Haryana,Kurukshetra District,2018,1,110204,"? 172,343,157.33"
Haryana,Jhajjar District,2018,1,115322,"? 187,960,033.85"
Himachal Pradesh,Solan District,2018,1,118881,"? 146,873,607.42"
Himachal Pradesh,Sirmaur District,2018,1,37721,"? 43,579,534.40"
Himachal Pradesh,Shimla District,2018,1,54161,"? 84,375,526.98"
Himachal Pradesh,Bilaspur District,2018,1,21880,"? 20,215,586.71"
Himachal Pradesh,Hamirpur District,2018,1,32709,"? 37,506,250.25"
Himachal Pradesh,Una District,2018,1,39070,"? 48,375,221.96"
Himachal Pradesh,Kangra District,2018,1,62061,"? 83,269,925.39"
Himachal Pradesh,Kullu District,2018,1,23978,"? 36,599,342.90"
Himachal Pradesh,Mandi District,2018,1,44169,"? 50,308,276.31"
Himachal Pradesh,Lahul And Spiti District,2018,1,335,"? 441,404.91"
Himachal Pradesh,Chamba District,2018,1,41138,"? 69,091,183.95"
Himachal Pradesh,Kinnaur District,2018,1,5815,"? 8,101,945.19"
Jammu & Kashmir,Muzaffarabad District,2018,1,13,"? 14,559.80"
Jammu & Kashmir,Doda District,2018,1,4108,"? 7,065,930.23"
Jammu & Kashmir,Samba District,2018,1,14795,"? 21,534,891.04"
Jammu & Kashmir,Mirpur District,2018,1,1320,"? 3,052,181.91"
Jammu & Kashmir,Srinagar District,2018,1,47285,"? 62,676,256.76"
Jammu & Kashmir,Baramulla District,2018,1,83775,"? 44,215,018.00"
Jammu & Kashmir,Jammu District,2018,1,81381,"? 127,452,979.36"
Jammu & Kashmir,Ganderbal District,2018,1,20571,"? 9,107,649.67"
Jammu & Kashmir,Udhampur District,2018,1,17620,"? 31,451,872.27"
Jammu & Kashmir,Bandipore District,2018,1,38208,"? 11,885,513.91"
Jammu & Kashmir,Reasi District,2018,1,7433,"? 12,816,155.33"
Jammu & Kashmir,Shopian District,2018,1,5083,"? 3,598,498.63"
Jammu & Kashmir,Poonch District,2018,1,398963,"? 509,120,439.31"
Jammu & Kashmir,Kathua District,2018,1,17643,"? 22,353,839.21"
Jammu & Kashmir,Kishtwar District,2018,1,2054,"? 3,514,299.99"
Jammu & Kashmir,Pulwama District,2018,1,35793,"? 24,777,476.31"
Jammu & Kashmir,Ramban District,2018,1,5326,"? 7,284,248.82"
Jammu & Kashmir,Rajouri District,2018,1,10199,"? 16,045,672.11"
Jammu & Kashmir,Kulgam District,2018,1,23587,"? 9,213,671.33"
Jammu & Kashmir,Budgam District,2018,1,50748,"? 36,218,453.71"
Jammu & Kashmir,Anantnag District,2018,1,64478,"? 24,885,721.23"
Jammu & Kashmir,Kupwara District,2018,1,11185,"? 17,085,910.33"
Jharkhand,Ramgarh District,2018,1,97459,"? 85,844,869.66"
Jharkhand,Ranchi District,2018,1,356622,"? 434,234,048.50"
Jharkhand,East Singhbhum District,2018,1,220276,"? 257,229,540.65"
Jharkhand,Jamtara District,2018,1,21925,"? 37,530,176.98"
Jharkhand,Dumka District,2018,1,37867,"? 33,366,389.64"
Jharkhand,Koderma District,2018,1,58922,"? 76,001,334.68"
Jharkhand,Hazaribagh District,2018,1,150709,"? 171,297,280.24"
Jharkhand,Simdega District,2018,1,6739,"? 9,328,083.91"
Jharkhand,Garhwa District,2018,1,47858,"? 105,426,064.77"
Jharkhand,Saraikela Kharsawan District,2018,1,83449,"? 74,573,902.82"
Jharkhand,Gumla District,2018,1,12079,"? 15,422,722.31"
Jharkhand,Chatra District,2018,1,28364,"? 48,808,252.91"
Jharkhand,Khunti District,2018,1,10377,"? 12,238,451.41"
Jharkhand,Dhanbad District,2018,1,340878,"? 271,973,005.30"
Jharkhand,Godda District,2018,1,36994,"? 36,033,979.37"
Jharkhand,Deoghar District,2018,1,70058,"? 91,100,585.74"
Jharkhand,Palamu District,2018,1,84608,"? 128,141,542.27"
Jharkhand,Latehar District,2018,1,20416,"? 35,121,829.70"
Jharkhand,West Singhbhum District,2018,1,34197,"? 38,008,802.04"
Jharkhand,Pakur District,2018,1,17321,"? 10,639,883.90"
Jharkhand,Lohardaga District,2018,1,15716,"? 16,349,311.33"
Jharkhand,Sahebganj District,2018,1,30741,"? 44,038,697.07"
Jharkhand,Giridih District,2018,1,131905,"? 131,409,945.94"
Jharkhand,Bokaro District,2018,1,263441,"? 210,067,688.76"
Karnataka,Mysuru District,2018,1,331051,"? 515,455,840.38"
Karnataka,Chitradurga District,2018,1,86333,"? 121,914,949.95"
Karnataka,Kalaburagi District,2018,1,152325,"? 212,180,924.39"
Karnataka,Ramanagara District,2018,1,124329,"? 195,057,353.04"
Karnataka,Mandya District,2018,1,105447,"? 141,585,191.43"
Karnataka,Kodagu District,2018,1,23443,"? 42,386,913.56"
Karnataka,Chikkamagaluru District,2018,1,56698,"? 79,877,643.75"
Karnataka,Haveri District,2018,1,62962,"? 73,634,849.48"
Karnataka,Ballari District,2018,1,218492,"? 317,208,290.22"
Karnataka,Belagavi District,2018,1,265382,"? 286,997,207.16"
Karnataka,Kolar District,2018,1,133622,"? 167,783,200.23"
Karnataka,Uttara Kannada District,2018,1,84133,"? 106,664,202.91"
Karnataka,Tumakuru District,2018,1,177987,"? 260,985,866.65"
Karnataka,Yadgir District,2018,1,44863,"? 77,395,671.09"
Karnataka,Bengaluru Urban District,2018,1,8306513,"? 14,162,750,303.06"
Karnataka,Chikkaballapura District,2018,1,114026,"? 164,073,011.90"
Karnataka,Davanagere District,2018,1,137819,"? 169,137,586.63"
Karnataka,Bagalkote District,2018,1,137750,"? 130,764,471.86"
Karnataka,Vijayapura District,2018,1,140665,"? 175,198,952.33"
Karnataka,Koppal District,2018,1,63835,"? 79,650,000.29"
Karnataka,Bidar District,2018,1,148528,"? 219,204,065.83"
Karnataka,Bengaluru Rural District,2018,1,187325,"? 307,037,188.47"
Karnataka,Raichur District,2018,1,131182,"? 181,240,414.71"
Karnataka,Chamarajanagara District,2018,1,32011,"? 35,620,369.65"
Karnataka,Dakshina Kannada District,2018,1,185407,"? 270,072,282.10"
Karnataka,Hassan District,2018,1,88635,"? 134,541,685.06"
Karnataka,Dharwad District,2018,1,204568,"? 231,336,487.18"
Karnataka,Shivamogga District,2018,1,110195,"? 155,561,860.95"
Karnataka,Udupi District,2018,1,102236,"? 144,516,000.63"
Karnataka,Gadag District,2018,1,59137,"? 58,062,529.13"
Kerala,Thiruvananthapuram District,2018,1,172079,"? 275,202,215.59"
Kerala,Kasaragod District,2018,1,37597,"? 46,522,871.82"
Kerala,Malappuram District,2018,1,239508,"? 256,416,524.04"
Kerala,Pathanamthitta District,2018,1,35435,"? 44,871,379.63"
Kerala,Wayanad District,2018,1,32702,"? 42,622,425.25"
Kerala,Alappuzha District,2018,1,74941,"? 95,014,765.51"
Kerala,Kozhikode District,2018,1,206971,"? 264,216,575.61"
Kerala,Kollam District,2018,1,76713,"? 93,495,184.49"
Kerala,Thrissur District,2018,1,148871,"? 200,502,461.32"
Kerala,Palakkad District,2018,1,119324,"? 155,278,345.54"
Kerala,Kannur District,2018,1,92260,"? 112,128,543.08"
Kerala,Kottayam District,2018,1,102446,"? 132,788,590.21"
Kerala,Ernakulam District,2018,1,390006,"? 630,357,709.43"
Kerala,Idukki District,2018,1,42527,"? 53,257,161.57"
Ladakh,Kargil District,2018,1,1244,"? 3,430,931.08"
Ladakh,Leh Ladakh District,2018,1,4845,"? 9,101,926.69"
Lakshadweep,Lakshadweep District,2018,1,778,"? 1,928,611.18"
Madhya Pradesh,Morena District,2018,1,107452,"? 106,573,744.58"
