State,Year,Quarter,Level,Entity_Name,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,2018,1,Districts,South Andaman,5688,"? 12,560,249.34"
Andaman & Nicobar Islands,2018,1,Districts,Nicobars,528,"? 1,139,848.80"
Andaman & Nicobar Islands,2018,1,Districts,North And Middle Andaman,442,"? 931,663.08"
Andaman & Nicobar Islands,2018,1,Pincodes,744101,1622,"? 2,769,297.90"
Andaman & Nicobar Islands,2018,1,Pincodes,744103,1223,"? 2,238,041.87"
Andaman & Nicobar Islands,2018,1,Pincodes,744102,969,"? 3,519,059.94"
Andaman & Nicobar Islands,2018,1,Pincodes,744105,685,"? 1,298,560.95"
Andaman & Nicobar Islands,2018,1,Pincodes,744104,340,"? 1,039,715.31"
Andaman & Nicobar Islands,2018,1,Pincodes,744107,302,"? 556,059.53"
Andaman & Nicobar Islands,2018,1,Pincodes,744301,283,"? 445,739.16"
Andaman & Nicobar Islands,2018,1,Pincodes,744112,269,"? 333,709.57"
Andaman & Nicobar Islands,2018,1,Pincodes,744202,193,"? 238,914.02"
Andaman & Nicobar Islands,2018,1,Pincodes,744302,168,"? 547,469.65"
Andhra Pradesh,2018,1,Districts,Visakhapatnam,1256469,"? 1,749,966,196.50"
Andhra Pradesh,2018,1,Districts,East Godavari,943935,"? 1,235,785,515.60"
Andhra Pradesh,2018,1,Districts,Krishna,863935,"? 1,284,255,179.62"
Andhra Pradesh,2018,1,Districts,Chittoor,830324,"? 1,009,621,878.09"
Andhra Pradesh,2018,1,Districts,Guntur,815932,"? 1,108,686,589.03"
Andhra Pradesh,2018,1,Districts,Kurnool,679623,"? 764,905,298.74"
Andhra Pradesh,2018,1,Districts,Anantapur,638664,"? 788,830,646.03"
Andhra Pradesh,2018,1,Districts,West Godavari,577090,"? 853,547,668.75"
Andhra Pradesh,2018,1,Districts,Prakasam,534757,"? 748,990,775.87"
Andhra Pradesh,2018,1,Districts,Spsr Nellore,531612,"? 676,643,237.81"
Andhra Pradesh,2018,1,Pincodes,517501,110496,"? 163,487,278.84"
Andhra Pradesh,2018,1,Pincodes,520001,96883,"? 170,605,900.55"
Andhra Pradesh,2018,1,Pincodes,515001,92754,"? 133,522,310.76"
Andhra Pradesh,2018,1,Pincodes,517507,88132,"? 127,450,018.21"
Andhra Pradesh,2018,1,Pincodes,516001,84644,"? 131,194,265.52"
Andhra Pradesh,2018,1,Pincodes,518502,82421,"? 68,040,306.14"
Andhra Pradesh,2018,1,Pincodes,530016,81891,"? 140,880,970.10"
Andhra Pradesh,2018,1,Pincodes,520010,69581,"? 119,009,921.97"
Andhra Pradesh,2018,1,Pincodes,516360,68340,"? 101,612,118.88"
Andhra Pradesh,2018,1,Pincodes,518501,68193,"? 81,006,512.72"
Arunachal Pradesh,2018,1,Districts,Papum Pare,14224,"? 32,555,848.46"
Arunachal Pradesh,2018,1,Districts,West Kameng,5787,"? 9,540,632.55"
Arunachal Pradesh,2018,1,Districts,Lohit,3747,"? 11,496,949.55"
Arunachal Pradesh,2018,1,Districts,East Siang,3286,"? 5,533,620.19"
Arunachal Pradesh,2018,1,Districts,Changlang,3195,"? 5,380,749.42"
Arunachal Pradesh,2018,1,Districts,Tawang,2334,"? 5,055,665.02"
Arunachal Pradesh,2018,1,Districts,Longding,2321,"? 4,361,531.58"
Arunachal Pradesh,2018,1,Districts,West Siang,1887,"? 4,796,675.57"
Arunachal Pradesh,2018,1,Districts,Lower Subansiri,1477,"? 3,650,727.89"
Arunachal Pradesh,2018,1,Districts,Namsai,1400,"? 2,162,984.71"
Arunachal Pradesh,2018,1,Pincodes,791110,4253,"? 8,605,127.65"
Arunachal Pradesh,2018,1,Pincodes,791111,4207,"? 9,841,038.92"
Arunachal Pradesh,2018,1,Pincodes,791102,3286,"? 5,671,981.38"
Arunachal Pradesh,2018,1,Pincodes,790116,2704,"? 4,457,038.56"
Arunachal Pradesh,2018,1,Pincodes,790104,2114,"? 4,578,762.30"
Arunachal Pradesh,2018,1,Pincodes,791109,2112,"? 3,137,887.50"
Arunachal Pradesh,2018,1,Pincodes,792131,2097,"? 3,667,031.75"
Arunachal Pradesh,2018,1,Pincodes,791001,2041,"? 5,020,174.00"
Arunachal Pradesh,2018,1,Pincodes,791113,1955,"? 6,492,923.79"
Arunachal Pradesh,2018,1,Pincodes,792001,1865,"? 2,638,135.15"
Assam,2018,1,Districts,Kamrup Metropolitan,194617,"? 284,766,218.98"
Assam,2018,1,Districts,Marigaon,79832,"? 105,067,294.50"
Assam,2018,1,Districts,Barpeta,67801,"? 56,352,302.38"
Assam,2018,1,Districts,Nagaon,66695,"? 56,352,631.29"
Assam,2018,1,Districts,Cachar,56481,"? 57,250,290.53"
Assam,2018,1,Districts,Sonitpur,51976,"? 73,005,566.25"
Assam,2018,1,Districts,Kamrup,47859,"? 41,868,129.26"
Assam,2018,1,Districts,Dibrugarh,44792,"? 53,258,765.87"
Assam,2018,1,Districts,Tinsukia,41237,"? 45,886,201.03"
Assam,2018,1,Districts,Jorhat,33322,"? 41,164,542.06"
Assam,2018,1,Pincodes,782127,36278,"? 55,685,104.31"
Assam,2018,1,Pincodes,782126,19015,"? 29,531,618.72"
Assam,2018,1,Pincodes,781010,17827,"? 17,537,571.60"
Assam,2018,1,Pincodes,781032,12544,"? 16,344,758.30"
Assam,2018,1,Pincodes,781039,12320,"? 11,675,419.25"
Assam,2018,1,Pincodes,781022,11160,"? 21,394,161.56"
Assam,2018,1,Pincodes,781001,10964,"? 14,211,878.22"
Assam,2018,1,Pincodes,781005,9017,"? 11,227,244.31"
Assam,2018,1,Pincodes,781038,8676,"? 13,458,100.48"
Assam,2018,1,Pincodes,782123,8395,"? 9,021,446.00"
Bihar,2018,1,Districts,Patna,1197281,"? 1,282,492,050.64"
Bihar,2018,1,Districts,Muzaffarpur,388401,"? 394,717,112.60"
Bihar,2018,1,Districts,Purbi Champaran,254643,"? 264,192,918.45"
Bihar,2018,1,Districts,Gaya,231873,"? 227,470,166.15"
Bihar,2018,1,Districts,Samastipur,222241,"? 213,634,124.83"
Bihar,2018,1,Districts,Darbhanga,217364,"? 224,628,301.63"
Bihar,2018,1,Districts,Pashchim Champaran,215866,"? 236,190,496.64"
Bihar,2018,1,Districts,Nalanda,208901,"? 190,613,485.96"
Bihar,2018,1,Districts,Vaishali,201678,"? 211,794,626.32"
Bihar,2018,1,Districts,Rohtas,201231,"? 181,378,994.98"
Bihar,2018,1,Pincodes,800006,212121,"? 159,171,214.38"
Bihar,2018,1,Pincodes,800001,177256,"? 242,740,752.86"
Bihar,2018,1,Pincodes,800020,129071,"? 141,719,795.46"
Bihar,2018,1,Pincodes,845401,76416,"? 76,205,305.71"
Bihar,2018,1,Pincodes,800015,73983,"? 86,113,679.89"
Bihar,2018,1,Pincodes,800026,63136,"? 65,482,638.46"
Bihar,2018,1,Pincodes,842002,57670,"? 62,632,203.02"
Bihar,2018,1,Pincodes,845438,56011,"? 62,629,397.88"
Bihar,2018,1,Pincodes,823001,51768,"? 56,179,994.08"
Bihar,2018,1,Pincodes,842001,46883,"? 60,539,500.78"
Chandigarh,2018,1,Districts,Chandigarh,381895,"? 613,435,420.87"
Chandigarh,2018,1,Pincodes,160008,204745,"? 303,482,049.96"
Chandigarh,2018,1,Pincodes,160101,26317,"? 45,629,483.26"
Chandigarh,2018,1,Pincodes,160002,23236,"? 34,003,082.96"
Chandigarh,2018,1,Pincodes,160036,18446,"? 30,891,354.28"
Chandigarh,2018,1,Pincodes,160022,16228,"? 34,028,151.81"
Chandigarh,2018,1,Pincodes,160047,15552,"? 28,142,251.97"
Chandigarh,2018,1,Pincodes,160014,9358,"? 14,326,394.80"
Chandigarh,2018,1,Pincodes,160015,9023,"? 13,830,194.97"
Chandigarh,2018,1,Pincodes,160019,8102,"? 14,609,531.12"
Chandigarh,2018,1,Pincodes,160030,7330,"? 14,108,196.60"
Chhattisgarh,2018,1,Districts,Raipur,323570,"? 474,633,363.90"
Chhattisgarh,2018,1,Districts,Durg,226774,"? 274,435,199.82"
Chhattisgarh,2018,1,Districts,Janjgir Champa,219761,"? 223,984,259.55"
Chhattisgarh,2018,1,Districts,Bilaspur,158509,"? 169,865,045.95"
Chhattisgarh,2018,1,Districts,Raigarh,133135,"? 140,463,994.72"
Chhattisgarh,2018,1,Districts,Korba,93345,"? 99,366,683.14"
Chhattisgarh,2018,1,Districts,Rajnandgaon,73040,"? 79,830,832.05"
Chhattisgarh,2018,1,Districts,Surguja,68251,"? 77,822,921.04"
Chhattisgarh,2018,1,Districts,Mahasamund,64238,"? 69,201,346.07"
Chhattisgarh,2018,1,Districts,Baloda Bazar,61987,"? 55,455,251.91"
Chhattisgarh,2018,1,Pincodes,495660,109908,"? 139,116,923.37"
Chhattisgarh,2018,1,Pincodes,492001,68302,"? 114,014,371.97"
Chhattisgarh,2018,1,Pincodes,495001,64018,"? 82,965,730.16"
Chhattisgarh,2018,1,Pincodes,497001,48388,"? 57,165,354.74"
Chhattisgarh,2018,1,Pincodes,491001,34699,"? 43,141,115.63"
Chhattisgarh,2018,1,Pincodes,491441,34452,"? 41,948,409.70"
Chhattisgarh,2018,1,Pincodes,490025,34332,"? 39,719,148.73"
Chhattisgarh,2018,1,Pincodes,496005,31183,"? 41,371,368.80"
Chhattisgarh,2018,1,Pincodes,492009,30672,"? 54,679,337.06"
Chhattisgarh,2018,1,Pincodes,490023,30657,"? 40,316,811.61"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Districts,Dadra And Nagar Haveli,92738,"? 105,807,098.83"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Districts,Daman,50218,"? 63,416,803.35"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Districts,Diu,5593,"? 6,434,481.93"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,396230,77416,"? 87,636,730.73"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,396210,31807,"? 45,382,419.03"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,396215,18076,"? 17,620,423.05"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,396235,15322,"? 18,170,368.09"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,362520,2681,"? 3,815,255.61"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,362571,1724,"? 1,778,092.85"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,362540,1020,"? 628,046.88"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,396220,335,"? 413,961.27"
Dadra & Nagar Haveli & Daman & Diu,2018,1,Pincodes,362570,168,"? 213,086.59"
Delhi,2018,1,Districts,Central Delhi,2997714,"? 4,312,145,216.27"
Delhi,2018,1,Districts,New Delhi,883737,"? 1,478,916,789.17"
Delhi,2018,1,Districts,South East Delhi,562694,"? 929,543,692.82"
Delhi,2018,1,Districts,West,545129,"? 966,855,137.03"
